Tempo (s),PWM,Temperatura (ºC)
1,127,0
2,127,0
3,127,0
4,127,0
5,127,0
6,127,0
7,127,0
8,127,0
9,127,0
10,127,0
11,127,0
12,127,0
14,127,0.488758553
15,127,0
16,127,0.488758553
17,127,0.488758553
18,127,0.977517107
19,127,0.977517107
20,127,0.977517107
21,127,1.46627566
22,127,1.46627566
23,127,1.46627566
24,127,1.46627566
25,127,1.46627566
26,127,1.46627566
27,127,1.46627566
28,127,1.46627566
29,127,1.955034213
30,127,1.955034213
31,127,1.955034213
32,127,1.955034213
33,127,2.443792766
35,127,2.443792766
36,127,1.955034213
37,127,1.955034213
38,127,2.93255132
39,127,2.443792766
40,127,2.93255132
41,127,2.93255132
42,127,2.93255132
43,127,3.421309873
44,127,3.421309873
45,127,3.910068426
46,127,3.910068426
47,127,3.910068426
48,127,3.910068426
49,127,3.421309873
50,127,4.398826979
51,127,4.398826979
52,127,3.910068426
53,127,4.398826979
55,127,4.398826979
56,127,4.887585533
57,127,4.887585533
58,127,5.376344086
59,127,5.376344086
60,127,5.376344086
61,127,4.887585533
62,127,4.887585533
63,127,5.376344086
64,127,4.887585533
65,127,5.865102639
66,127,5.376344086
67,127,5.865102639
68,127,5.376344086
69,127,6.353861193
70,127,5.376344086
71,127,6.353861193
72,127,6.353861193
73,127,5.865102639
75,127,5.865102639
76,127,6.353861193
77,127,6.353861193
78,127,6.353861193
79,127,6.353861193
80,127,6.353861193
81,127,6.353861193
82,127,6.353861193
83,127,6.842619746
84,127,6.842619746
85,127,6.842619746
86,127,6.842619746
87,127,7.331378299
88,127,7.331378299
89,127,7.820136852
90,127,7.331378299
91,127,7.820136852
92,127,7.820136852
93,127,8.308895406
94,127,7.331378299
96,127,7.820136852
97,127,7.820136852
98,127,7.820136852
99,127,7.820136852
100,127,8.308895406
101,127,7.820136852
102,127,7.820136852
103,127,7.820136852
104,127,7.820136852
105,127,7.820136852
106,127,7.820136852
107,127,7.820136852
108,127,7.820136852
109,127,8.308895406
110,127,8.797653959
111,127,8.308895406
112,127,8.308895406
113,127,8.797653959
115,127,8.797653959
116,127,8.797653959
117,127,8.797653959
118,127,9.286412512
119,127,9.286412512
120,127,8.797653959
121,127,9.286412512
122,127,8.797653959
123,127,9.286412512
124,127,9.286412512
125,127,9.286412512
126,127,9.286412512
127,127,9.286412512
128,127,9.286412512
129,127,8.797653959
130,127,9.286412512
131,127,8.797653959
132,127,9.286412512
133,127,9.286412512
135,127,9.286412512
136,127,9.286412512
137,127,9.286412512
138,127,9.286412512
139,127,9.775171065
140,127,9.775171065
141,127,10.26392962
142,127,9.775171065
143,127,10.26392962
144,127,10.26392962
145,127,9.775171065
146,127,10.26392962
147,127,9.775171065
148,127,10.26392962
149,127,9.775171065
150,127,9.775171065
151,127,9.775171065
152,127,9.775171065
153,127,10.26392962
154,127,9.775171065
156,127,10.26392962
157,127,10.75268817
158,127,10.26392962
159,127,10.26392962
160,127,10.26392962
161,127,10.26392962
162,127,10.26392962
163,127,9.775171065
164,127,10.26392962
165,127,10.26392962
166,127,10.26392962
167,127,9.775171065
168,127,10.26392962
169,127,10.26392962
170,127,10.26392962
171,127,10.75268817
172,127,10.26392962
173,127,10.26392962
174,127,10.75268817
176,127,10.75268817
177,127,11.24144673
178,127,11.24144673
179,127,10.75268817
180,127,10.75268817
181,127,10.75268817
182,127,10.75268817
183,127,10.75268817
184,127,10.75268817
185,127,10.26392962
186,127,9.775171065
187,127,10.26392962
188,127,10.26392962
189,127,10.75268817
190,127,11.24144673
191,127,10.75268817
192,127,11.73020528
193,127,11.73020528
194,127,11.24144673
195,127,11.24144673
197,127,11.24144673
198,127,11.24144673
199,127,11.24144673
200,127,10.75268817
201,127,11.24144673
202,127,10.75268817
203,127,10.75268817
204,127,10.75268817
205,127,10.26392962
206,127,10.75268817
207,127,10.75268817
208,127,11.24144673
209,127,11.24144673
210,127,11.73020528
211,127,11.24144673
212,127,11.24144673
213,127,11.24144673
214,127,11.24144673
215,127,11.24144673
217,127,11.73020528
218,127,11.73020528
219,127,12.21896383
220,127,11.24144673
221,127,11.24144673
222,127,11.24144673
223,127,11.24144673
224,127,11.24144673
225,127,11.24144673
226,127,11.73020528
227,127,11.73020528
228,127,11.73020528
229,127,11.24144673
230,127,11.73020528
231,127,11.73020528
232,127,11.73020528
233,127,11.73020528
234,127,10.75268817
235,127,11.73020528
237,127,11.73020528
238,127,11.73020528
239,127,11.73020528
240,127,12.21896383
241,127,11.73020528
242,127,11.73020528
243,127,11.73020528
244,127,12.21896383
245,127,11.73020528
246,127,11.73020528
247,127,11.73020528
248,127,11.73020528
249,127,11.73020528
250,127,11.73020528
251,127,11.73020528
252,127,11.73020528
253,127,11.73020528
254,127,11.24144673
255,127,11.73020528
257,127,11.73020528
258,127,12.21896383
259,127,12.21896383
260,127,11.73020528
261,127,12.21896383
262,127,12.70772239
263,127,11.73020528
264,127,12.21896383
265,127,11.73020528
266,127,12.21896383
267,127,11.73020528
268,127,11.73020528
269,127,11.73020528
270,127,11.73020528
271,127,11.73020528
272,127,11.73020528
273,127,11.73020528
274,127,11.73020528
275,127,12.21896383
277,127,11.73020528
278,127,12.21896383
279,127,12.21896383
280,127,11.73020528
281,127,11.73020528
282,127,11.73020528
283,127,11.73020528
284,127,12.21896383
285,127,12.70772239
286,127,11.73020528
287,127,11.73020528
288,127,12.21896383
289,127,12.21896383
290,127,12.21896383
291,127,12.21896383
292,127,12.21896383
293,127,12.70772239
294,127,12.70772239
295,127,12.21896383
296,127,12.21896383
298,127,12.21896383
299,127,12.21896383
300,127,12.21896383
301,127,12.21896383
302,127,11.73020528
303,127,12.21896383
304,127,12.21896383
305,127,12.21896383
306,127,12.70772239
307,127,12.70772239
308,127,12.70772239
309,127,13.19648094
310,127,12.70772239
311,127,13.19648094
312,127,13.19648094
313,127,13.19648094
314,127,12.70772239
315,127,13.19648094
316,127,13.19648094
318,127,13.19648094
319,127,12.70772239
320,127,13.19648094
321,127,13.19648094
322,127,13.19648094
323,127,14.17399804
324,127,13.68523949
325,127,14.17399804
326,127,14.17399804
327,127,14.17399804
328,127,14.17399804
329,127,13.68523949
330,127,14.17399804
331,127,13.68523949
332,127,13.68523949
333,127,14.17399804
334,127,13.68523949
335,127,13.68523949
336,127,13.68523949
338,127,13.19648094
339,127,13.19648094
340,127,13.68523949
341,127,13.19648094
