Tempo (s),Amostra,PWM,Temperatura (°C)
2.01,2,38,36.02
3.28,3,40,35.53
4.41,4,41,35.53
5.56,5,40,36.02
6.71,6,42,35.53
7.85,7,43,35.53
9.01,8,42,36.02
10.13,9,44,35.53
11.31,10,45,35.53
12.46,11,46,35.53
13.61,12,46,35.53
14.77,13,47,35.53
15.92,14,48,35.53
17.07,15,47,36.02
18.22,16,48,36.02
19.37,17,50,35.53
20.52,18,49,36.02
21.67,19,50,36.02
22.81,20,52,35.53
23.96,21,52,36.02
25.13,22,54,35.53
26.28,23,54,35.53
27.43,24,54,36.02
28.58,25,56,35.53
29.72,26,55,36.02
30.87,27,57,35.53
32.02,28,58,35.53
33.17,29,57,36.02
34.34,30,59,35.53
35.50,31,59,36.02
36.67,32,61,35.53
37.82,33,61,35.53
38.98,34,62,35.53
40.13,35,63,35.53
41.28,36,64,35.53
42.44,37,64,35.53
43.63,38,64,36.02
44.78,39,64,36.02
45.93,40,65,36.02
47.07,41,67,35.53
48.22,42,67,36.02
49.37,43,67,36.02
50.52,44,68,36.02
51.67,45,69,36.02
52.82,46,69,36.02
53.98,47,70,36.02
55.13,48,71,36.02
56.28,49,73,35.53
57.43,50,72,36.02
58.58,51,71,36.51
59.73,52,75,35.53
60.88,53,73,36.51
62.03,54,74,36.51
63.17,55,74,36.51
64.34,56,78,35.53
65.49,57,78,35.53
66.64,58,76,36.51
67.80,59,77,36.51
68.95,60,78,36.51
70.10,61,78,36.51
71.25,62,79,36.51
72.40,63,80,36.51
73.55,64,79,37.00
74.70,65,81,36.51
75.85,66,80,37.00
77.00,67,82,36.51
78.16,68,82,37.00
79.32,69,84,36.51
80.53,70,83,37.00
81.67,71,84,37.00
82.82,72,84,37.00
83.99,73,86,36.51
85.14,74,87,36.51
86.29,75,86,37.00
87.44,76,87,37.00
88.58,77,89,36.51
89.73,78,88,37.00
90.88,79,86,37.98
92.03,80,91,36.51
93.18,81,90,37.00
94.33,82,90,37.49
95.48,83,91,37.00
96.64,84,92,37.00
97.81,85,91,37.49
98.96,86,93,37.00
100.11,87,93,37.49
101.26,88,95,37.00
102.40,89,95,37.00
103.56,90,96,37.00
104.71,91,95,37.49
105.87,92,95,37.98
107.02,93,97,37.49
108.17,94,99,37.00
109.33,95,98,37.49
110.48,96,98,37.49
111.63,97,98,37.98
112.78,98,98,37.98
113.93,99,99,37.98
115.08,100,101,37.49
116.24,101,99,38.47
117.39,102,101,37.98
118.54,103,103,37.49
119.69,104,102,37.98
120.84,105,101,38.47
121.99,106,103,37.98
