Tempo (s),Amostra,PWM,Temperatura (°C)
2.02,2,28,29.67
3.20,3,28,29.67
4.60,4,29,29.67
5.75,5,28,30.16
6.92,6,31,29.18
8.08,7,32,29.18
9.26,8,31,29.67
10.43,9,30,30.16
11.60,10,29,30.65
12.78,11,33,29.67
13.96,12,32,30.16
15.11,13,29,31.13
16.29,14,33,30.16
19.42,15,33,30.16
20.64,16,34,30.16
21.82,17,33,30.65
23.00,18,37,29.18
24.18,19,36,29.67
25.37,20,38,29.18
26.55,21,35,30.65
27.71,22,38,29.67
28.91,23,37,30.16
30.09,24,39,29.67
31.28,25,38,30.16
32.46,26,40,29.67
33.64,27,41,29.67
34.88,28,38,30.65
36.05,29,41,29.67
37.21,30,41,30.16
38.41,31,40,30.65
39.64,32,39,31.13
40.82,33,39,31.13
42.01,34,41,30.65
43.20,35,40,31.13
44.36,36,41,31.13
45.52,37,43,30.65
46.70,38,42,31.13
47.89,39,45,30.16
49.06,40,44,30.65
50.25,41,44,30.65
51.42,42,45,30.65
52.61,43,45,30.65
53.79,44,46,30.65
54.96,45,42,32.11
56.16,46,44,31.62
57.35,47,47,30.65
58.52,48,48,30.65
59.72,49,48,30.65
60.90,50,44,32.11
62.08,51,46,31.62
63.27,52,48,31.13
64.45,53,50,30.65
65.61,54,50,30.65
66.78,55,47,32.11
67.96,56,50,31.13
69.16,57,47,32.11
70.32,58,48,32.11
71.51,59,48,32.11
72.68,60,51,31.13
73.85,61,49,32.11
75.02,62,51,31.62
76.19,63,50,32.11
77.35,64,50,32.11
78.53,65,51,32.11
79.71,66,50,32.60
80.89,67,49,33.09
82.07,68,49,33.09
83.27,69,52,32.11
84.46,70,54,31.62
85.62,71,53,32.11
86.79,72,52,32.60
87.97,73,52,32.60
89.14,74,53,32.60
90.31,75,53,32.60
91.49,76,54,32.60
92.65,77,54,32.60
93.72,78,54,32.60
94.89,79,51,34.07
96.06,80,54,33.09
97.26,81,55,32.60
98.44,82,54,33.09
99.62,83,55,33.09
100.91,84,56,32.60
102.21,85,55,33.09
103.49,86,56,33.09
104.78,87,53,34.07
106.10,88,58,32.60
107.36,89,55,33.58
108.58,90,56,33.58
109.85,91,59,32.60
111.14,92,55,34.07
112.43,93,58,33.09
113.67,94,54,34.56
114.96,95,57,33.58
116.19,96,58,33.58
117.50,97,57,34.07
118.80,98,58,33.58
120.10,99,59,33.58
121.39,100,59,33.58
122.65,101,58,34.07
123.94,102,59,33.58
125.21,103,56,35.04
126.56,104,59,34.07
127.88,105,58,34.56
129.16,106,58,34.56
130.44,107,60,34.07
131.71,108,59,34.56
133.05,109,61,33.58
134.33,110,58,35.04
135.59,111,61,34.07
136.85,112,60,34.56
138.04,113,59,35.04
139.71,114,60,34.56
140.87,115,60,34.56
142.07,116,61,34.56
143.24,117,61,34.56
144.44,118,63,34.07
145.62,119,59,35.53
146.85,120,60,35.04
148.11,121,61,35.04
149.39,122,62,34.56
150.61,123,61,35.04
151.81,124,61,35.04
153.07,125,59,36.02
154.31,126,61,35.53
155.57,127,62,35.04
156.84,128,61,35.53
158.09,129,63,35.04
159.30,130,61,35.53
160.50,131,63,35.04
161.78,132,61,36.02
163.04,133,59,36.51
164.36,134,61,36.02
165.71,135,63,35.53
167.01,136,61,36.02
168.33,137,62,36.02
169.55,138,62,36.02
170.80,139,62,36.02
172.02,140,60,37.00
173.31,141,62,36.02
174.55,142,59,37.49
175.78,143,64,35.53
177.02,144,59,37.49
178.29,145,63,36.02
179.51,146,61,37.00
180.74,147,63,36.02
181.99,148,61,37.00
183.22,149,64,36.02
184.43,150,61,37.00
185.67,151,64,36.02
186.91,152,66,35.53
188.17,153,62,37.00
189.39,154,62,37.00
190.64,155,62,37.00
191.84,156,65,36.02
193.07,157,64,36.51
194.35,158,64,36.51
195.61,159,63,37.00
196.84,160,63,37.00
