Tempo (s),Amostra,PWM,Temperatura (°C)
2.02,2,28,0
3.2,3,28,0
4.6,4,29,0
5.75,5,28,0.489999999999998
6.92,6,31,-0.490000000000002
8.08,7,32,-0.490000000000002
9.26,8,31,0
10.43,9,30,0.489999999999998
11.6,10,29,0.979999999999997
12.78,11,33,0
13.96,12,32,0.489999999999998
15.11,13,29,1.46
16.29,14,33,0.489999999999998
19.42,15,33,0.489999999999998
20.64,16,34,0.489999999999998
21.82,17,33,0.979999999999997
23,18,37,-0.490000000000002
24.18,19,36,0
25.37,20,38,-0.490000000000002
26.55,21,35,0.979999999999997
27.71,22,38,0
28.91,23,37,0.489999999999998
30.09,24,39,0
31.28,25,38,0.489999999999998
32.46,26,40,0
33.64,27,41,0
34.88,28,38,0.979999999999997
36.05,29,41,0
37.21,30,41,0.489999999999998
38.41,31,40,0.979999999999997
39.64,32,39,1.46
40.82,33,39,1.46
42.01,34,41,0.979999999999997
43.2,35,40,1.46
44.36,36,41,1.46
45.52,37,43,0.979999999999997
46.7,38,42,1.46
47.89,39,45,0.489999999999998
49.06,40,44,0.979999999999997
50.25,41,44,0.979999999999997
51.42,42,45,0.979999999999997
52.61,43,45,0.979999999999997
53.79,44,46,0.979999999999997
54.96,45,42,2.44
56.16,46,44,1.95
57.35,47,47,0.979999999999997
58.52,48,48,0.979999999999997
59.72,49,48,0.979999999999997
60.9,50,44,2.44
62.08,51,46,1.95
63.27,52,48,1.46
64.45,53,50,0.979999999999997
65.61,54,50,0.979999999999997
66.78,55,47,2.44
67.96,56,50,1.46
69.16,57,47,2.44
70.32,58,48,2.44
71.51,59,48,2.44
72.68,60,51,1.46
73.85,61,49,2.44
75.02,62,51,1.95
76.19,63,50,2.44
77.35,64,50,2.44
78.53,65,51,2.44
79.71,66,50,2.93
80.89,67,49,3.42
82.07,68,49,3.42
83.27,69,52,2.44
84.46,70,54,1.95
85.62,71,53,2.44
86.79,72,52,2.93
87.97,73,52,2.93
89.14,74,53,2.93
90.31,75,53,2.93
91.49,76,54,2.93
92.65,77,54,2.93
93.72,78,54,2.93
94.89,79,51,4.4
96.06,80,54,3.42
97.26,81,55,2.93
98.44,82,54,3.42
99.62,83,55,3.42
100.91,84,56,2.93
102.21,85,55,3.42
103.49,86,56,3.42
104.78,87,53,4.4
106.1,88,58,2.93
107.36,89,55,3.91
108.58,90,56,3.91
109.85,91,59,2.93
111.14,92,55,4.4
112.43,93,58,3.42
113.67,94,54,4.89
114.96,95,57,3.91
116.19,96,58,3.91
117.5,97,57,4.4
118.8,98,58,3.91
120.1,99,59,3.91
121.39,100,59,3.91
122.65,101,58,4.4
123.94,102,59,3.91
125.21,103,56,5.37
126.56,104,59,4.4
127.88,105,58,4.89
129.16,106,58,4.89
130.44,107,60,4.4
131.71,108,59,4.89
133.05,109,61,3.91
134.33,110,58,5.37
135.59,111,61,4.4
136.85,112,60,4.89
138.04,113,59,5.37
139.71,114,60,4.89
140.87,115,60,4.89
142.07,116,61,4.89
143.24,117,61,4.89
144.44,118,63,4.4
145.62,119,59,5.86
146.85,120,60,5.37
148.11,121,61,5.37
149.39,122,62,4.89
150.61,123,61,5.37
151.81,124,61,5.37
153.07,125,59,6.35
154.31,126,61,5.86
155.57,127,62,5.37
156.84,128,61,5.86
158.09,129,63,5.37
159.3,130,61,5.86
160.5,131,63,5.37
161.78,132,61,6.35
163.04,133,59,6.84
164.36,134,61,6.35
165.71,135,63,5.86
167.01,136,61,6.35
168.33,137,62,6.35
169.55,138,62,6.35
170.8,139,62,6.35
172.02,140,60,7.33
173.31,141,62,6.35
174.55,142,59,7.82
175.78,143,64,5.86
177.02,144,59,7.82
178.29,145,63,6.35
179.51,146,61,7.33
180.74,147,63,6.35
181.99,148,61,7.33
183.22,149,64,6.35
184.43,150,61,7.33
185.67,151,64,6.35
186.91,152,66,5.86
188.17,153,62,7.33
189.39,154,62,7.33
190.64,155,62,7.33
191.84,156,65,6.35
193.07,157,64,6.84
194.35,158,64,6.84
195.61,159,63,7.33
196.84,160,63,7.33
198.07,161,64,6.84
199.39,162,62,7.82
200.68,163,63,7.33
201.91,164,65,6.84
203.16,165,64,7.33
204.4,166,64,7.33
205.74,167,64,7.33
206.98,168,64,7.33
208.2,169,63,7.82
209.52,170,63,7.82
210.74,171,63,7.82
211.97,172,65,7.33
213.18,173,62,8.31
214.39,174,65,7.33
215.57,175,61,8.8
216.79,176,63,8.31
218.07,177,65,7.33
