Tempo (s),Amostra,PWM,Temperatura (°C)
2.01,2,57,29.18
3.31,3,55,30.16
4.48,4,59,29.18
5.65,5,58,29.67
6.81,6,61,29.18
7.97,7,61,29.67
9.12,8,64,28.69
10.27,9,64,29.18
11.45,10,64,29.67
12.60,11,65,29.67
13.75,12,64,30.16
14.91,13,65,30.16
16.08,14,65,30.65
17.25,15,67,30.16
18.41,16,68,30.16
19.58,17,69,30.16
20.75,18,72,29.67
21.92,19,73,29.67
23.09,20,74,29.67
26.20,21,72,30.65
27.37,22,73,30.65
28.55,23,77,29.67
29.72,24,74,31.13
30.89,25,77,30.16
32.06,26,77,30.65
33.22,27,78,30.65
34.39,28,79,30.65
35.58,29,78,31.13
36.76,30,81,30.65
37.95,31,80,31.13
39.12,32,83,30.65
40.29,33,84,30.65
41.49,34,83,31.13
42.68,35,83,31.62
43.86,36,84,31.62
45.02,37,85,31.62
46.20,38,84,32.11
47.38,39,86,31.62
48.56,40,87,31.62
49.74,41,88,31.62
50.91,42,88,32.11
52.09,43,87,32.60
53.28,44,88,32.60
54.46,45,89,32.60
55.72,46,89,33.09
56.89,47,91,32.60
58.05,48,92,32.60
59.23,49,93,32.60
60.42,50,94,32.60
61.59,51,94,32.60
62.76,52,94,33.09
63.94,53,96,32.60
65.10,54,97,32.60
66.27,55,95,33.58
67.44,56,97,33.09
68.60,57,95,34.07
69.79,58,98,33.58
70.96,59,96,34.56
72.12,60,99,33.58
73.30,61,99,34.07
74.49,62,99,34.07
75.69,63,99,34.56
76.85,64,100,34.56
78.03,65,99,35.04
79.20,66,101,34.56
80.39,67,103,34.07
81.57,68,103,34.56
82.77,69,104,34.56
83.95,70,103,35.04
85.12,71,102,35.53
86.28,72,106,34.56
87.45,73,105,35.04
88.61,74,106,35.04
89.77,75,108,34.56
90.94,76,106,35.53
92.12,77,107,35.53
93.29,78,108,35.53
94.48,79,111,34.56
95.67,80,109,35.53
96.84,81,107,36.51
98.02,82,109,36.02
99.19,83,110,36.02
100.36,84,112,35.53
101.55,85,111,36.02
102.73,86,111,36.51
103.91,87,110,37.00
105.07,88,113,36.02
106.24,89,114,36.02
107.41,90,113,36.51
108.59,91,114,36.51
109.75,92,115,36.51
110.92,93,114,37.00
112.09,94,115,37.00
113.27,95,115,37.00
114.43,96,116,37.00
115.60,97,117,37.00
116.77,98,116,37.49
117.95,99,115,37.98
119.13,100,117,37.49
120.29,101,114,38.95
121.46,102,116,38.47
122.63,103,118,37.98
123.80,104,117,38.47
124.98,105,117,38.47
126.15,106,119,37.98
127.35,107,117,38.95
128.53,108,118,38.95
129.70,109,118,38.95
130.87,110,118,39.44
132.03,111,119,38.95
133.22,112,119,39.44
134.38,113,119,39.44
135.57,114,120,39.44
136.75,115,119,39.93
137.92,116,121,39.44
139.10,117,123,38.95
140.27,118,120,39.93
141.47,119,121,39.93
142.65,120,120,40.42
143.84,121,121,40.42
145.01,122,124,39.44
146.19,123,123,39.93
147.37,124,125,39.44
148.55,125,123,40.42
149.74,126,122,40.91
150.92,127,124,40.42
152.10,128,123,40.91
153.27,129,122,41.40
154.47,130,124,40.91
155.65,131,125,40.42
156.84,132,124,40.91
158.02,133,121,41.89
159.22,134,124,40.91
160.40,135,123,41.40
161.58,136,123,41.40
162.76,137,124,40.91
163.95,138,124,40.91
165.13,139,121,41.89
166.32,140,123,41.40
167.50,141,121,41.89
168.68,142,120,42.38
169.87,143,123,41.40
171.05,144,121,41.89
172.23,145,120,42.38
173.41,146,123,41.40
174.59,147,123,41.40
175.79,148,119,42.86
176.97,149,120,42.38
178.15,150,117,43.35
179.35,151,121,41.89
180.54,152,119,42.86
181.72,153,117,43.35
182.92,154,117,43.35
184.11,155,119,42.86
185.29,156,120,42.38
186.49,157,119,42.86
187.69,158,116,43.84
188.88,159,116,43.84
190.06,160,117,43.35
191.24,161,116,43.84
192.46,162,116,43.84
193.63,163,116,43.84
194.82,164,116,43.84
196.01,165,115,44.33
197.21,166,116,43.84
198.41,167,115,44.33
199.61,168,113,44.82
200.80,169,115,44.33
201.98,170,117,43.35
203.18,171,115,44.33
204.38,172,116,43.84
205.57,173,116,43.84
206.79,174,117,43.35
207.95,175,115,44.33
209.12,176,115,44.33
210.31,177,112,45.31
211.47,178,113,44.82
212.64,179,112,45.31
213.81,180,112,45.31
214.98,181,112,45.31
216.16,182,111,45.80
217.34,183,111,45.80
218.53,184,111,45.80
219.69,185,112,45.31
220.86,186,112,45.31
222.03,187,111,45.80
223.20,188,112,45.31
224.37,189,111,45.80
225.55,190,112,45.31
226.71,191,112,45.31
227.88,192,112,45.31
229.05,193,110,46.29
230.21,194,111,45.80
231.39,195,110,46.29
232.59,196,112,45.31
233.76,197,115,44.33
234.93,198,111,45.80
236.14,199,111,45.80
237.33,200,110,46.29
238.50,201,110,46.29
239.68,202,111,45.80
240.87,203,108,46.77
242.06,204,110,46.29
243.24,205,108,46.77
244.43,206,107,47.26
245.62,207,110,46.29
246.83,208,110,46.29
248.01,209,110,46.29
249.20,210,108,46.77
250.38,211,110,46.29
251.56,212,108,46.77
252.74,213,108,46.77
253.93,214,110,46.29
255.11,215,108,46.77
256.29,216,106,47.75
257.48,217,106,47.75
258.65,218,106,47.75
259.82,219,108,46.77
261.02,220,107,47.26
262.21,221,110,46.29
263.40,222,108,46.77
264.58,223,108,46.77
265.77,224,106,47.75
266.93,225,106,47.75
268.13,226,106,47.75
269.30,227,106,47.75
270.47,228,106,47.75
271.66,229,107,47.26
272.83,230,106,47.75
274.00,231,103,48.73
275.20,232,107,47.26
276.38,233,106,47.75
277.56,234,106,47.75
278.74,235,107,47.26
279.91,236,107,47.26
281.10,237,103,48.73
282.28,238,103,48.73
283.47,239,104,48.24
284.65,240,106,47.75
285.84,241,107,47.26
287.04,242,106,47.75
288.25,243,107,47.26
289.43,244,107,47.26
290.62,245,104,48.24
291.81,246,104,48.24
293.00,247,107,47.26
294.18,248,106,47.75
295.38,249,106,47.75
296.58,250,103,48.73
297.77,251,106,47.75
298.96,252,104,48.24
300.15,253,103,48.73
301.36,254,106,47.75
302.55,255,102,49.22
303.72,256,104,48.24
304.91,257,107,47.26
306.08,258,102,49.22
307.26,259,104,48.24
308.44,260,103,48.73
309.62,261,102,49.22
310.80,262,103,48.73
311.97,263,104,48.24
313.16,264,102,49.22
314.33,265,104,48.24
315.52,266,103,48.73
316.70,267,100,49.71
317.88,268,106,47.75
319.06,269,103,48.73
320.23,270,100,49.71
321.41,271,103,48.73
322.61,272,100,49.71
323.80,273,104,48.24
324.97,274,106,47.75
326.17,275,106,47.75
327.35,276,104,48.24
328.52,277,103,48.73
329.72,278,104,48.24
330.89,279,104,48.24
332.06,280,103,48.73
333.25,281,103,48.73
334.43,282,103,48.73
335.60,283,103,48.73
336.78,284,103,48.73
337.96,285,104,48.24
339.13,286,100,49.71
340.31,287,106,47.75
341.53,288,100,49.71
342.71,289,102,49.22
343.91,290,100,49.71
345.09,291,104,48.24
346.30,292,100,49.71
347.49,293,102,49.22
348.67,294,102,49.22
349.86,295,104,48.24
351.07,296,102,49.22
352.25,297,102,49.22
353.44,298,102,49.22
354.62,299,102,49.22
355.81,300,102,49.22
357.00,301,99,50.20
358.18,302,103,48.73
359.35,303,103,48.73
360.54,304,103,48.73
361.72,305,103,48.73
362.90,306,100,49.71
364.08,307,104,48.24
365.26,308,103,48.73
366.44,309,102,49.22
367.62,310,100,49.71
368.81,311,104,48.24
369.99,312,104,48.24
371.18,313,103,48.73
372.39,314,100,49.71
373.57,315,102,49.22
374.74,316,102,49.22
375.93,317,102,49.22
377.12,318,102,49.22
378.31,319,102,49.22
379.48,320,103,48.73
380.68,321,102,49.22
381.86,322,100,49.71
383.05,323,100,49.71
384.24,324,100,49.71
385.44,325,102,49.22
386.63,326,99,50.20
387.82,327,102,49.22
389.00,328,102,49.22
390.19,329,100,49.71
391.38,330,100,49.71
392.58,331,100,49.71
393.77,332,99,50.20
394.95,333,100,49.71
396.13,334,98,50.68
397.34,335,99,50.20
398.54,336,102,49.22
399.72,337,99,50.20
400.91,338,102,49.22
402.10,339,100,49.71
403.29,340,99,50.20
404.48,341,102,49.22
405.68,342,100,49.71
406.85,343,100,49.71
408.04,344,100,49.71
409.23,345,102,49.22
410.41,346,100,49.71
411.62,347,100,49.71
412.80,348,100,49.71
413.98,349,98,50.68
415.15,350,98,50.68
416.33,351,100,49.71
417.50,352,98,50.68
418.68,353,99,50.20
419.85,354,99,50.20
421.03,355,100,49.71
422.20,356,99,50.20
423.36,357,100,49.71
424.55,358,99,50.20
425.74,359,99,50.20
426.92,360,99,50.20
428.12,361,98,50.68
429.29,362,100,49.71
430.45,363,99,50.20
431.66,364,99,50.20
432.83,365,97,50.68
434.01,366,99,50.20
435.17,367,99,50.20
436.34,368,100,49.71
437.52,369,99,50.20
438.68,370,100,49.71
439.85,371,99,50.20
441.02,372,103,48.73
442.20,373,97,50.68
443.38,374,97,50.68
444.56,375,101,49.22
445.73,376,101,49.22
446.90,377,97,50.68
448.07,378,100,49.71
449.24,379,102,49.22
450.42,380,100,49.71
451.59,381,99,50.20
452.77,382,99,50.20
453.94,383,99,50.20
455.11,384,100,49.71
456.28,385,100,49.71
457.46,386,100,49.71
458.65,387,100,49.71
459.81,388,98,50.68
460.98,389,100,49.71
462.16,390,98,50.68
463.33,391,98,50.68
464.50,392,100,49.71
465.68,393,99,50.20
466.85,394,102,49.22
468.01,395,100,49.71
469.19,396,99,50.20
470.36,397,99,50.20
471.54,398,102,49.22
472.70,399,100,49.71
473.89,400,102,49.22
475.06,401,98,50.68
476.22,402,96,51.17
477.39,403,100,49.71
478.57,404,100,49.71
479.74,405,99,50.20
480.92,406,102,49.22
482.09,407,98,50.68
483.27,408,99,50.20
484.44,409,96,51.17
485.62,410,97,50.68
486.79,411,96,51.17
487.97,412,97,50.68
489.16,413,100,49.71
490.33,414,95,51.66
491.51,415,100,49.71
492.68,416,96,51.17
493.85,417,96,51.17
495.02,418,96,51.17
496.19,419,98,50.20
497.37,420,98,50.20
498.55,421,98,50.20
499.73,422,97,50.68
500.90,423,96,51.17
502.07,424,97,50.68
503.26,425,97,50.68
504.43,426,97,50.68
505.65,427,97,50.68
506.84,428,97,50.68
508.01,429,94,51.66
509.19,430,97,50.68
510.36,431,94,51.66
511.53,432,99,49.71
512.70,433,94,51.66
513.87,434,98,50.20
515.04,435,97,50.68
516.21,436,96,50.68
517.41,437,96,50.68
518.59,438,98,50.20
519.76,439,99,49.71
520.92,440,98,50.20
522.11,441,99,49.71
523.28,442,98,50.20
524.46,443,95,51.17
525.63,444,99,49.71
526.79,445,98,50.20
527.96,446,98,50.20
529.13,447,99,49.71
530.30,448,96,50.68
531.49,449,98,50.20
532.66,450,98,50.20
533.86,451,99,49.71
535.04,452,96,50.68
536.21,453,99,49.71
537.41,454,96,50.68
538.57,455,98,50.20
539.75,456,98,50.20
540.93,457,95,51.17
542.11,458,95,51.17
543.29,459,97,50.20
544.47,460,95,51.17
545.66,461,96,50.68
546.83,462,95,51.17
548.00,463,96,50.68
549.18,464,97,50.20
550.35,465,95,51.17
551.53,466,97,50.20
552.70,467,97,50.20
553.88,468,96,50.68
555.05,469,96,50.68
556.22,470,96,50.68
557.41,471,97,50.20
558.59,472,97,50.20
559.76,473,96,50.68
560.95,474,97,50.20
562.11,475,97,50.20
563.29,476,94,51.17
564.46,477,96,50.68
565.63,478,94,51.17
566.82,479,96,50.68
568.00,480,97,50.20
569.17,481,95,50.68
570.34,482,95,50.68
571.52,483,95,50.68
572.69,484,94,51.17
573.87,485,95,50.68
575.06,486,98,49.71
576.24,487,97,50.20
577.41,488,99,49.22
578.60,489,97,50.20
579.77,490,98,49.71
580.94,491,95,50.68
582.12,492,95,50.68
583.30,493,97,50.20
584.47,494,94,51.17
585.65,495,97,50.20
586.82,496,97,50.20
588.00,497,97,50.20
589.19,498,98,49.71
590.38,499,95,50.68
591.55,500,97,50.20
592.72,501,94,51.17
593.90,502,96,50.20
595.07,503,95,50.68
596.24,504,96,50.20
597.43,505,95,50.68
598.62,506,96,50.20
599.79,507,98,49.71
600.96,508,95,50.68
602.14,509,92,51.66
603.33,510,98,49.71
604.50,511,94,51.17
605.68,512,96,50.20
606.87,513,95,50.68
608.04,514,96,50.20
609.20,515,93,51.17
610.39,516,93,51.17
611.58,517,92,51.66
612.76,518,95,50.68
613.93,519,97,49.71
615.12,520,95,50.68
616.34,521,95,50.68
617.73,522,96,50.20
618.91,523,94,50.68
620.08,524,97,49.71
621.26,525,92,51.66
622.45,526,96,50.20
623.63,527,94,50.68
624.82,528,97,49.71
626.01,529,94,50.68
627.18,530,94,50.68
628.37,531,94,50.68
629.54,532,96,50.20
630.72,533,97,49.71
631.91,534,94,50.68
633.08,535,94,50.68
634.25,536,96,50.20
635.44,537,96,50.20
636.62,538,91,51.66
637.79,539,93,51.17
638.96,540,95,50.20
640.13,541,94,50.68
641.30,542,94,50.68
642.49,543,94,50.68
643.66,544,93,51.17
644.84,545,94,50.68
646.02,546,94,50.68
647.20,547,94,50.68
648.38,548,94,50.68
649.57,549,94,50.68
650.75,550,91,51.66
651.92,551,94,50.68
653.09,552,95,50.20
654.26,553,94,50.68
655.46,554,92,51.17
