Tempo (s),Amostra,PWM,Temperatura (°C)
2.01,2,57,0
3.31,3,55,0.98
4.48,4,59,0
5.65,5,58,0.490000000000002
6.81,6,61,0
7.97,7,61,0.490000000000002
9.12,8,64,-0.489999999999998
10.27,9,64,0
11.45,10,64,0.490000000000002
12.6,11,65,0.490000000000002
13.75,12,64,0.98
14.91,13,65,0.98
16.08,14,65,1.47
17.25,15,67,0.98
18.41,16,68,0.98
19.58,17,69,0.98
20.75,18,72,0.490000000000002
21.92,19,73,0.490000000000002
23.09,20,74,0.490000000000002
26.2,21,72,1.47
27.37,22,73,1.47
28.55,23,77,0.490000000000002
29.72,24,74,1.95
30.89,25,77,0.98
32.06,26,77,1.47
33.22,27,78,1.47
34.39,28,79,1.47
35.58,29,78,1.95
36.76,30,81,1.47
37.95,31,80,1.95
39.12,32,83,1.47
40.29,33,84,1.47
41.49,34,83,1.95
42.68,35,83,2.44
43.86,36,84,2.44
45.02,37,85,2.44
46.2,38,84,2.93
47.38,39,86,2.44
48.56,40,87,2.44
49.74,41,88,2.44
50.91,42,88,2.93
52.09,43,87,3.42
53.28,44,88,3.42
54.46,45,89,3.42
55.72,46,89,3.91
56.89,47,91,3.42
58.05,48,92,3.42
59.23,49,93,3.42
60.42,50,94,3.42
61.59,51,94,3.42
62.76,52,94,3.91
63.94,53,96,3.42
65.1,54,97,3.42
66.27,55,95,4.4
67.44,56,97,3.91
68.6,57,95,4.89
69.79,58,98,4.4
70.96,59,96,5.38
72.12,60,99,4.4
73.3,61,99,4.89
74.49,62,99,4.89
75.69,63,99,5.38
76.85,64,100,5.38
78.03,65,99,5.86
79.2,66,101,5.38
80.39,67,103,4.89
81.57,68,103,5.38
82.77,69,104,5.38
83.95,70,103,5.86
85.12,71,102,6.35
86.28,72,106,5.38
87.45,73,105,5.86
88.61,74,106,5.86
89.77,75,108,5.38
90.94,76,106,6.35
92.12,77,107,6.35
93.29,78,108,6.35
94.48,79,111,5.38
95.67,80,109,6.35
96.84,81,107,7.33
98.02,82,109,6.84
99.19,83,110,6.84
100.36,84,112,6.35
101.55,85,111,6.84
102.73,86,111,7.33
103.91,87,110,7.82
105.07,88,113,6.84
106.24,89,114,6.84
107.41,90,113,7.33
108.59,91,114,7.33
109.75,92,115,7.33
110.92,93,114,7.82
112.09,94,115,7.82
113.27,95,115,7.82
114.43,96,116,7.82
115.6,97,117,7.82
116.77,98,116,8.31
117.95,99,115,8.8
119.13,100,117,8.31
120.29,101,114,9.77
121.46,102,116,9.29
122.63,103,118,8.8
123.8,104,117,9.29
124.98,105,117,9.29
126.15,106,119,8.8
127.35,107,117,9.77
128.53,108,118,9.77
129.7,109,118,9.77
130.87,110,118,10.26
132.03,111,119,9.77
133.22,112,119,10.26
134.38,113,119,10.26
135.57,114,120,10.26
136.75,115,119,10.75
137.92,116,121,10.26
139.1,117,123,9.77
140.27,118,120,10.75
141.47,119,121,10.75
142.65,120,120,11.24
143.84,121,121,11.24
145.01,122,124,10.26
146.19,123,123,10.75
147.37,124,125,10.26
148.55,125,123,11.24
149.74,126,122,11.73
150.92,127,124,11.24
152.1,128,123,11.73
153.27,129,122,12.22
154.47,130,124,11.73
155.65,131,125,11.24
156.84,132,124,11.73
158.02,133,121,12.71
159.22,134,124,11.73
160.4,135,123,12.22
161.58,136,123,12.22
162.76,137,124,11.73
163.95,138,124,11.73
165.13,139,121,12.71
166.32,140,123,12.22
167.5,141,121,12.71
168.68,142,120,13.2
169.87,143,123,12.22
171.05,144,121,12.71
172.23,145,120,13.2
173.41,146,123,12.22
174.59,147,123,12.22
175.79,148,119,13.68
176.97,149,120,13.2
178.15,150,117,14.17
179.35,151,121,12.71
180.54,152,119,13.68
181.72,153,117,14.17
182.92,154,117,14.17
184.11,155,119,13.68
185.29,156,120,13.2
186.49,157,119,13.68
187.69,158,116,14.66
188.88,159,116,14.66
190.06,160,117,14.17
191.24,161,116,14.66
192.46,162,116,14.66
193.63,163,116,14.66
194.82,164,116,14.66
196.01,165,115,15.15
197.21,166,116,14.66
198.41,167,115,15.15
199.61,168,113,15.64
200.8,169,115,15.15
201.98,170,117,14.17
203.18,171,115,15.15
204.38,172,116,14.66
205.57,173,116,14.66
206.79,174,117,14.17
207.95,175,115,15.15
209.12,176,115,15.15
210.31,177,112,16.13
211.47,178,113,15.64
212.64,179,112,16.13
213.81,180,112,16.13
214.98,181,112,16.13
216.16,182,111,16.62
217.34,183,111,16.62
218.53,184,111,16.62
219.69,185,112,16.13
220.86,186,112,16.13
222.03,187,111,16.62
223.2,188,112,16.13
224.37,189,111,16.62
225.55,190,112,16.13
226.71,191,112,16.13
227.88,192,112,16.13
229.05,193,110,17.11
230.21,194,111,16.62
231.39,195,110,17.11
